timestamp,asset,action,side,entry_price,exit_price,size,pnl,duration_sec,time_remaining,prob_at_entry,prob_at_exit,binance_change
2026-02-13T16:06:12.574858,BTC,SELL,DOWN,0.495,0.505,5.0,0.0,0.511733,0.58659792,0.505,0.505,0.0
2026-02-13T16:06:15.607634,BTC,SELL,DOWN,0.475,0.54,5.0,-0.15789473684210542,1.513008,0.5843443344444444,0.525,0.54,0.0
2026-02-13T16:06:17.119834,BTC,BUY,UP,0.545,0.545,5.0,0.0,1.010134,0.5821016211111112,0.545,0.545,0.0
2026-02-13T16:06:20.148763,BTC,SELL,DOWN,0.44499999999999995,0.595,5.0,-0.4494382022471902,2.019143,0.5798596333333332,0.555,0.595,0.0
2026-02-13T16:06:23.286838,BTC,SELL,DOWN,0.405,0.595,5.0,0.0,2.130482,0.5764967799999999,0.595,0.595,0.0
2026-02-13T16:06:24.810787,BTC,BUY,UP,0.595,0.59,5.0,-0.042016806722689114,1.018407,0.5735691833333333,0.595,0.59,0.0
2026-02-13T16:06:26.324393,BTC,SELL,DOWN,0.42000000000000004,0.555,5.0,0.2976190476190465,1.009915,0.5718754533333333,0.58,0.555,0.0
2026-02-13T16:06:27.851202,BTC,SELL,DOWN,0.44999999999999996,0.545,5.0,0.055555555555555615,1.022389,0.5701936444444444,0.55,0.545,0.0
2026-02-13T16:06:33.860945,BTC,SELL,DOWN,0.45499999999999996,0.555,5.0,-0.10989010989011,5.002003,0.56793759,0.545,0.555,0.0
2026-02-13T16:06:45.066053,BTC,SELL,DOWN,0.43500000000000005,0.5700000000000001,5.0,-0.057471264367817416,9.68991,0.5606946166666666,0.565,0.5700000000000001,0.0
2026-02-13T16:06:46.578593,BTC,BUY,UP,0.595,0.565,5.0,-0.25210084033613467,0.506269,0.5488113499999999,0.595,0.565,0.0
2026-02-13T16:06:48.601640,BTC,SELL,DOWN,0.43500000000000005,0.565,5.0,0.0,1.016657,0.5471303577777777,0.565,0.565,0.0
2026-02-13T16:06:50.128855,BTC,BUY,UP,0.585,0.595,5.0,0.08547008547008554,0.517597,0.5448822222222223,0.585,0.595,0.0
2026-02-13T16:06:54.262310,BTC,SELL,DOWN,0.405,0.595,5.0,0.0,3.117365,0.54318057,0.595,0.595,0.0
2026-02-13T16:06:56.118914,BTC,BUY,UP,0.595,0.63,5.0,0.2941176470588238,1.290381,0.5390809477777777,0.595,0.63,0.0
2026-02-13T16:07:00.251189,BTC,SELL,DOWN,0.345,0.675,5.0,-0.2898550724637684,3.087154,0.5364863888888889,0.655,0.675,0.0
2026-02-13T16:07:01.309789,BTC,SELL,DOWN,0.32499999999999996,0.675,5.0,0.0,0.504531,0.5324408066666667,0.675,0.675,0.0
2026-02-13T16:07:03.874709,BTC,SELL,DOWN,0.355,0.615,5.0,0.422535211267606,1.052586,0.5302001533333334,0.645,0.615,0.0
2026-02-13T16:07:07.552090,BTC,SELL,DOWN,0.365,0.625,5.0,0.13698630136986314,3.118123,0.5284085588888889,0.635,0.625,0.0
2026-02-13T16:07:09.066849,BTC,SELL,DOWN,0.38,0.615,5.0,0.06578947368421058,1.012006,0.5243854144444444,0.62,0.615,0.0
2026-02-13T16:07:10.601906,BTC,BUY,UP,0.615,0.625,5.0,0.08130081300813016,0.504984,0.5221166700000001,0.615,0.625,0.0
2026-02-13T16:07:11.622639,BTC,SELL,DOWN,0.365,0.65,5.0,-0.2054794520547947,0.515048,0.5209954277777779,0.635,0.65,0.0
2026-02-13T16:07:13.172762,BTC,BUY,UP,0.655,0.655,5.0,0.0,0.534746,0.5192941422222223,0.655,0.655,0.0
2026-02-13T16:07:14.192517,BTC,BUY,UP,0.655,0.64,5.0,-0.11450381679389322,0.504641,0.5181394055555556,0.655,0.64,0.0
2026-02-13T16:07:16.270114,BTC,SELL,DOWN,0.365,0.595,5.0,0.5479452054794526,0.527419,0.5158440466666666,0.635,0.595,0.0
